Job_name,Job_description,Posting_date,Experience,Location,Company_name,Job_application_link,Type
Senior Frontend Developer – E-Commerce (Shopify),"Role: Senior Frontend Developer Client: E-Commerce Salary: £100,000 base Location: London (hybrid) Durlston Partners is partnering with an innovative e-commerce brand creating fast, beautiful, and scalable online shopping experiences. They’re looking for a Frontend Developer who’s passionate about performance, clean code, and great UX. What You’ll Do Lead the development of their Shopify e-commerce platform from front to back Build responsive, high-performing web experiences that delight users Collaborate with product, design, and marketing teams to launch new features Mentor developers and set best practices for code quality and architecture What You’ll Bring Strong JavaScript (ES6+), CSS/SCSS, and responsive front-end experience Proven ability building modern e-commerce sites (React, Next.js preferred) Solid Node.js and API development skills Familiarity with databases (PostgreSQL/MongoDB) and cloud tools (AWS/Docker) A product mindset and attention to detail in performance and usability david@durlstonpartners.com",N/A,N/A,London,Durlston Partners,https://durlstonpartners.com/jobs/senior-frontend-developer-e-commerce-shopify/,Hybrid
Quantitative Researcher – Tier-1 HFT,"Quantitative Researcher – Tier-1 HFT – APAC – Market Leading Compensation Durlston Partners is working with a Tier-1 High-Frequency Trading (HFT) firm that is looking for a Quantitative Researcher to join their growing team in APAC. You’ll work alongside top-tier traders and developers to design and deploy automated trading strategies. This is a research-intensive role where you’ll analyse massive datasets, identify market signals, and solve complex mathematical problems to drive profitability in Asian markets. What You’ll Do Research and develop high-frequency trading strategies using statistical methods. Analyse large-scale market data to identify new alpha signals and patterns. Backtest and optimise models to ensure robustness and performance. Collaborate with engineers to implement strategies into the production trading environment. What They’re Looking For Strong academic background in Maths, Physics, Statistics, or CompSci (PhD or Masters preferred). Experience in quantitative research or alpha generation (Buy-Side). Strong programming skills in Python or C++. Deep understanding of probability, stochastic calculus, or time-series analysis. What They Offer Market-leading compensation with uncapped bonus potential. Opportunity to work in a leading financial hub (Singapore / Hong Kong / Sydney / China). State-of-the-art infrastructure and proprietary data access. Direct impact: your research directly drives the firm’s trading revenue. If you are interested, please apply! Alternatively, feel free to reach out to david@durlstonpartners.com for a confidential discussion.",N/A,N/A,"Negotiable package; Hong Kong, India, Singapore",Durlston Partners,https://durlstonpartners.com/jobs/quantitative-researcher-tier-1-hft/,Onsite
Software Engineer (Tier-1 HFT),"£300,000 + bonus. Software Engineer (HFT) – Leading HFT Firm – London – Competitive Salary + Bonus Durlston Partners is working with a Tier-1 HFT firm that is looking for a Software Engineer (C++ or Python) to join their team. You’ll work alongside traders and quantitative researchers to build and refine ultra-low latency trading systems. This is a hands-on role where you’ll optimize code for speed, develop execution algorithms, and solve critical performance challenges in a high-frequency environment. What You’ll Do Design and implement trading strategies and systems using C++ or Python. Optimise the full trading stack for maximum throughput and efficiency. Integrate market data feeds and build high-performance analysis tools. Collaborate on research infrastructure and production deployment. What They’re Looking For Strong academic background in CompSci, Maths, or Physics (ideally from a top global university). Proven experience in either C++ or Python development. Deep understanding of data structures, algorithms, and system design. Interest or experience in electronic trading or low-latency systems. What They Offer Market-leading compensation with substantial bonus potential. Work with state-of-the-art hardware and technology. Collaborative, flat-structured environment. Direct impact: your code directly determines the speed and success of trading strategies. If you are interested, please apply! Alternatively, feel free to reach out to david@durlstonpartners.com for a confidential discussion.",N/A,N/A,"Europe, UK",Durlston Partners,https://durlstonpartners.com/jobs/software-engineer-tier-1-hft/,Onsite
Quantitative Developer (Fixed Income/Credit) – Hedge Fund,"£140,000 + bonus. Quantitative Developer (Fixed Income/Credit) – Hedge Fund – London – £120k to £140k Role: Quantitative Developer (Fixed Income/Credit) Experience level: 2-8 years Requirements: Python, NumPy, Pandas, Credit/Fixed Income experience, etc. Compensation: £120,000-£140,000 (base) + generous bonus Durlston Partners is working with an elite-level Hedge Fund that is looking for a Quantitative Developer (Fixed Income/Credit) to join their team. The Profile: Experience: 2–8 years in a Quant Development role (Hedge Fund or Tier-1 IB) Tech Stack: Python, NumPy, Pandas, etc. Domain (Essential): Deep knowledge of Fixed Income or Credit products Education: Strong STEM background (CS, Math, Physics) Why Apply? Culture: Flat structure, rapid release cycles, no red tape Stack: Greenfield projects available within a modern Python ecosystem How to Apply: Please apply to the advert to register your interest. Alternatively, please feel free to reach out to me for a confidential discussion: david@durlstonpartners.com",N/A,2-8 years,London,Durlston Partners,https://durlstonpartners.com/jobs/quantitative-developer-fixed-income-credit-hedge-fund/,Onsite
Quantitative Researcher,"$850,000. Quantitative Researcher – APAC, US, Europe, London, UAE, Remote Durlston Partners is working with several top-tier Systematic Trading firms that are looking for Quant Researchers, where you’ll develop statistical models, uncover market inefficiencies, and work closely with engineers and traders to bring strategies from idea to production. What You’ll Do: Research, design, and test systematic trading strategies Analyse large, noisy datasets to identify predictive signals Build and refine models using statistical, ML, or econometric techniques Collaborate with engineering to deploy and monitor live strategies What They’re Looking For: Strong quantitative background (math, physics, CS, statistics) Proficiency in Python, R, or similar research languages Experience with statistical modeling, time-series analysis, or machine learning Curiosity, rigor, and a passion for data-driven decision-making Perks: Highly competitive pay and bonuses Cutting-edge tech and challenging problems Strong project ownership Great benefits package How to Apply: Please apply to the advert to register your interest. Alternatively, please feel free to reach out to me for a confidential discussion: david@durlstonpartners.com",N/A,N/A,"Abu Dhabi, Amsterdam, Australia, California, Cayman Islands, Chicago, Dubai, Europe, France, Hong Kong, India, London, Middle East, Netherlands, New York, Remote, Singapore, Switzerland, Sydney, UK, USA, Zug, Zurich",Durlston Partners,https://durlstonpartners.com/jobs/quantitative-researcher/,Remote
Senior Data Engineer – UAE,"Senior Data Engineer – Quantitative Trading Firm – $300,000 (tax-free) – Abu Dhabi, UAE (full relocation assistance provided) Durlston Partners is partnering with a leading Quant Trading firm that leverages advanced data and technology to execute market-beating strategies. They are seeking a Data Engineer to design, build, and scale the data infrastructure powering research and trading systems, seamless access to high-quality, low-latency data in a high-performance environment. Responsibilities Build and maintain real-time and batch data pipelines for market and research data Ensure low-latency, high-quality data access for quant researchers and trading systems Collaborate with quants to integrate datasets and optimize processing. Requirements 3+ years of experience as a Data Engineer Experience in Big Tech, Quant Trading, Hedge Funds, or Crypto Proficient in Python Experience with cloud infrastructure (AWS/Azure) Why Join Work with top quants on cutting-edge trading data infrastructure High-impact, technically challenging environment with a collaborative culture Competitive compensation with performance-based bonuses Great benefits and full relocation assistance",N/A,3+ years of experience as a Data Engineer Experi,"Abu Dhabi, Dubai",Durlston Partners,https://durlstonpartners.com/jobs/senior-data-engineer-uae/,Onsite
Engineering Manager (Python) – GenAI Start-Up,"Engineering Manager (Python) – GenAI Start-Up – London – £300,000 + equity Durlston Partners is working with an elite-level AI Tech firm that is looking for an Engineering Manager with a strong Python background to lead and grow one of their core engineering teams. You’ll work closely with AI researchers, data scientists, and senior engineers to deliver scalable, high-performance AI systems. This is a hands-on leadership role where you’ll guide technical direction, mentor engineers, and contribute to production code and distributed system design in large-scale, data-intensive environments. What You’ll Do Lead and mentor a high-performing team of software engineers working on AI research infrastructure, model training, and data pipelines. Drive the delivery of efficient, production-ready implementations of research models. Oversee the design, reliability, and optimisation of distributed, high-performance training and inference services. Establish and enforce best practices in testing, monitoring, CI/CD, and deployment across the team. Collaborate with product and research leads to define roadmaps and deliver high-impact engineering outcomes. What They’re Looking For Strong academic background in Computer Science (ideally from a top global university). Experience leading engineering teams, ideally within Trading, Big Tech, AI, or similarly high-performance environments. Excellent Python skills and the ability to guide architectural and code-quality decisions. Knowledge of distributed systems or high-performance computing at scale. Track record of delivering complex technical projects and fostering strong engineering culture. What They Offer Competitive compensation with equity. Work alongside top-tier AI researchers and engineers. Fast-moving, innovative environment. Direct impact: your leadership shapes the AI research and deployment infrastructure at scale. If you are interested, please apply! Alternatively, feel free to reach out to david@durlstonpartners.com for a confidential discussion.",N/A,N/A,London,Durlston Partners,https://durlstonpartners.com/jobs/engineering-manager-python-genai-start-up/,Onsite
Senior Software Engineer (Python) – GenAI Start-Up,"£250,000 + equity. Senior Software Engineer (Python) – GenAI Start-Up – London – £300,000 + equity Durlston Partners is working with an elite-level AI Tech firm that is looking for a Senior Software Engineer (Python) to join their team. You’ll work with AI researchers, data scientists, and engineers to build scalable, high-performance AI systems. This is a hands-on role where you’ll write production code, design distributed architectures, and solve complex engineering challenges in large-scale, data-intensive environments. What You’ll Do Build and optimise Python systems for AI research, model training, and data pipelines. Turn research models into efficient, production-ready solutions. Maintain distributed, high-performance services for training and inference. Apply best practices in testing, monitoring, and deployment. What They’re Looking For Strong academic background CompSci (ideally from a top global university) Work experience/internships in Trading, Big Tech, AI, etc. Strong Python skills Knowledge of distributed systems or high-performance computing What They Offer Competitive compensation with equity Work with top-tier AI researchers and engineers. Fast-moving, innovative environment. Direct impact: your work powers AI research and deployment at scale. If you are interested, please apply! Alternatively, feel free to reach out to david@durlstonpartners.com for a confidential discussion.",N/A,N/A,"London, UK",Durlston Partners,https://durlstonpartners.com/jobs/senior-software-engineer-python-genai-start-up/,Onsite
Software Engineer (C++) – High Frequency Trading – Remote,"Software Engineer (C++) – HFT – Remote – Up to $250,000 + huge bonus Durlston Partners is working with a leading HFT firm seeking a C++ Software Engineer to join their trading infrastructure team. You will design, implement, and optimise high-performance trading systems that operate in real-time across global markets. What You’ll Do: Develop and optimize high-performance C++ trading infrastructure Work on low-latency, multithreaded systems Collaborate with traders and quants to implement strategies What They’re Looking For: Relevant working in Systematic Trading/Crypto/Finance Strong C++ skills and systems programming experience Experience with networking, concurrency, and performance tuning Perks: Competitive pay and bonuses Cutting-edge tech and challenging problems Strong project ownership Great benefits package How to Apply: Please apply to the advert to register your interest. Alternatively, please feel free to reach out to me for a confidential discussion: david@durlstonpartners.com",N/A,N/A,Europe,Durlston Partners,https://durlstonpartners.com/jobs/software-engineer-c-high-frequency-trading-remote/,Remote
Systematic Equity Quantitative Researcher,"Up to $250k base + Bonus. We are looking for a skilled Systematic Equity Quantitative Researcher to join a top collaborative fund and work directly with a Senior Portfolio Manager to build, expand and improve systematic equity stat arb strategies You will play an integral role in the research process, helping shape the next generation of alpha-producing models and contributing to the evolution of our trading framework. Responsibilities: Work alongside the Senior Portfolio Manager to uncover alpha opportunities across diverse datasets. Design, test, and deploy statistical models and computational methods to support systematic equity trading. Examine market behaviour, factor dynamics, and strategy outcomes to guide ongoing portfolio decisions. Drive enhancements to existing trading approaches through rigorous research, experimentation, and data-driven insights. Qualifications: Solid academic or professional foundation in quantitative finance, statistics, applied mathematics, or a related discipline. Hands-on experience with statistical arbitrage or other systematic investment techniques. Strong programming ability in languages standard to quant research such as Python. A proactive mindset, strong analytical instincts, and comfort operating in a fast-moving research environment.",N/A,N/A,"Dubai, London, New York",Durlston Partners,https://durlstonpartners.com/jobs/systematic-equity-quantitative-researcher/,Onsite
Quantitative Researcher – Up to $3m TC,"Up to $3m TC. We’re partnered with a global HFT that quietly ranks among the world’s best, expanding across frequencies and asset classes strategically, with an extremely collaborative and high-performing team, looking to bring in more Quantitative Researchers, offering strong guarantees and cuts of PnL. Asset Class: global interest across various Cash, Futures and Options products. A major differentiator: their DL & AI group is genuinely exceptional, their infra is world-class (trading, research, backtest) , they are substantially more collaborative than most and the scope of the role can touch various global markets. The team includes ICPC Golds, IMO/IOI medallists, Google Hashcode winners, Kaggle Grandmasters, and deep learning specialists. From industry, they have hired multiple Quantitative Researchers and Engineers from the top 5 HFTs This role is suitable for people with experience in both derivatives and cash products, with the role allowing freedom to work across Equities, Futures, Options etc – with the role touching everything from raw data to how the model is traded, with the Deep Learning team supporting your efforts if needed. Compensation – this is the best of the best – strong 7-figure cash guarantees are followed by PnL cuts.",N/A,N/A,"Amsterdam, London, New York, Singapore",Durlston Partners,https://durlstonpartners.com/jobs/senior-quantitative-researcher-up-to-3m-tc/,Onsite
Quant Research Lead (AI/ML) – UAE relocation,"Up to $600k TC. We are looking for an experienced Quant Research Lead to lead the development of internal data functions powered by advanced AI/ML techniques. This role is central to transforming raw financial and alternative datasets into high-impact insights used by our Quant Research teams. What You’ll Do: Lead the design and implementation of scalable data products integrating AI/ML models Partner with QR teams to identify key use cases in alpha and signal generation Explore and structure complex datasets—including alternative, fundamental, and market data Building tools that translate data insights into actionable outcomes, mostly for Equities, Macro and Commodities strategies Drive innovation in data usage, model explainability, and research workflows What We’re Looking For: 15+ years in Quantitative Research, Data Science and AI/ML, mostly within finance Deep experience applying machine learning to large, diverse datasets Strong understanding of equity and commodity markets and their associated data Proven ability to lead interdisciplinary teams and bridge research, data, and investment functions A hands-on mindset with a strategic lens for long-term data architecture",N/A,"15+ years in Quantitative Research, Data Science",Abu Dhabi,Durlston Partners,https://durlstonpartners.com/jobs/quant-research-lead-ai-ml-uae-relocation/,Onsite
C++ Engineer (HFT) – Relocate to the Dubai,"Up to $200k base + Bonus. We are working with a very well-backed prop trading firm in Dubai, who are looking for C++ Trading Engineers, to build their next-generation trading platform. You will be developing low-latency systems with an event-driven architecture, with direct connectivity to major global exchanges. Key Responsibilities: Collaborate with a dynamic team to design and develop a brand-new trading platform from the ground up. Implement low-latency, event-driven systems in C++ and Python, ensuring optimal performance and scalability. Build and maintain exchange adapters and connectivity solutions for markets (US, Europe, APAC, Crypto etc) Apply parallel programming and concurrency techniques to handle high data throughput and low-latency requirements. Utilise TDD methodologies to ensure clean, maintainable, and reliable code. Work closely with the architecture team to integrate real-time data feeds, order processing, and trade execution in an event-driven framework. Monitor and improve system performance, troubleshooting and optimising as needed to ensure ultra-low latency and stability. Key Requirements: Experience with modern C++, proficiency in building and optimising low-latency systems. Event-Driven Architecture – hands-on experience with event-driven design patterns, including experience with message brokers and real-time data processing. Low Latency and Parallel Programming – familiarity with multithreading and concurrency, ideally within trading or real-time systems. Python Skills – competency in Python for automation, scripting, and data processing tasks. Exchange Connectivity – experience with FIX protocol and building adapters. TDD – proven experience in applying TDD principles to write clean, testable code. Troubleshooting and Performance Tuning – strong debugging skills and experience optimising for ultra-low latency.",N/A,N/A,Dubai,Durlston Partners,https://durlstonpartners.com/jobs/c-engineer-hft-relocate-to-the-dubai/,Onsite
Staff Research Scientist – Quant Fund – Up to $2m TC,"Up to $2m TC. A discreet global Research-driven prop shop has partnered with us to find a Staff Research Scientist to work on novel DL model uses in Trading, hiring remotely. Role – This is a Senior IC seat, responsible for technical innovation and shaping research strategies firmwide, using the most update to date developments in AI/DL. This will work closely with a team of Research scientists and Kaggle Grandmasters to conduct foundational research and productising deep learning innovations across all strategies, research and trading – a blank slate to apply frontier AI thinking (RL, transformers, learned systems) in a high-impact environment interesting points on how Deep NN interact with the extremely noisy world of financial markets. Ideal experience: Working in a top research firm + experience teaching at a Tier 1 Research University + Strong H-index Progression – you will start as a very senior IC, and compensation will grow significantly, with options to grow your team should you wish to do so. Team – they are exceptional, consisting of a number of Kaggle Grandmasters, as well as ICPC/IMO/IMC medallists.",N/A,N/A,Remote,Durlston Partners,https://durlstonpartners.com/jobs/staff-research-scientist-quant-fund-up-to-2m-tc/,Remote
Quant Data Scientist (LLMs) – UAE Relocation,"Up to $220k base + Bonus. We are seeking a Data Scientist to join a high-calibre Quant team within a discreet fund based in the UAE, operating at the intersection of Quantitative Research and Artificial Intelligence. This role is dedicated to leveraging data and language models to support the research, development, and implementation of systematic investment strategies. The successful candidate will combine strong technical skills with a solid understanding of financial markets and a passion for innovative data applications. Key Responsibilities Develop and maintain automated data pipelines for ingestion, tagging, cleansing, and integration of financial text and structured data. Oversee and enhance quality control processes for financial content generated by large language models (LLMs), ensuring coherence, accuracy, and logical consistency. Collaborate with quant researchers and engineers to improve the performance, accuracy, and reliability of AI-driven models. Conduct descriptive and exploratory analysis to uncover patterns, trends, and potential applications across a wide range of datasets. Maintain robust and scalable data infra to support real-time and batch processing workflows. Provide domain expertise to help shape financial knowledge representation in LLM outputs. Develop and apply custom quality metrics to assess and guide model performance. Actively participate in development cycles, research discussions, and cross-functional knowledge-sharing sessions. Required Qualifications Bachelor’s or Master’s degree in a quantitative discipline (e.g., Computer Science, Finance, Economics, Statistics, Engineering). 3+ years of professional experience in Data Science or Quantitative roles within finance. Proficiency in Python and SQL with exp. in data processing libraries such as pandas/numpy. Experience with machine learning frameworks and statistical analysis tools. Familiarity with financial data sources, APIs, and data modelling techniques. Ability to design, implement, and maintain scalable data pipelines and workflows. Excellent problem-solving skills and the ability to communicate complex ideas clearly to both technical and non-technical audiences. Preferred Qualifications Experience with LLM fine-tuning, prompt engineering, or other NLP methodologies. Strong curiosity and motivation to explore new technologies and methodologies in data science and AI Strong understanding of macroeconomics, financial markets, and investment principles.",N/A,3+ years of professional experience in Data Scie,"Abu Dhabi, Dubai",Durlston Partners,https://durlstonpartners.com/jobs/quant-data-scientist-llms-uae-relocation/,Onsite
